Date,Open,High,Low,Close,Volume
2023-01-01,50000,51000,49000,50500,1000
2023-01-02,50500,51500,50000,51000,1200
2023-01-03,51000,52000,50500,51500,1100
2023-01-04,51500,52500,51000,52000,1300
2023-01-05,52000,53000,51500,52500,1400
2023-01-06,52500,53500,52000,53000,1500
2023-01-07,53000,54000,52500,53500,1600
2023-01-08,53500,54500,53000,54000,1700
2023-01-09,54000,55000,53500,54500,1800
2023-01-10,54500,55500,54000,55000,1900
2023-01-11,55000,56000,54500,55500,2000
2023-01-12,55500,56500,55000,56000,2100
2023-01-13,56000,57000,55500,56500,2200
2023-01-14,56500,57500,56000,57000,2300
2023-01-15,57000,58000,56500,57500,2400
2023-01-16,57500,58500,57000,58000,2500
2023-01-17,58000,59000,57500,58500,2600
2023-01-18,58500,59500,58000,59000,2700
2023-01-19,59000,60000,58500,59500,2800
2023-01-20,59500,60500,59000,60000,2900
2023-01-21,60000,61000,59500,60500,3000
2023-01-22,60500,61500,60000,61000,3100
2023-01-23,61000,62000,60500,61500,3200
2023-01-24,61500,62500,61000,62000,3300
2023-01-25,62000,63000,61500,62500,3400
2023-01-26,62500,63500,62000,63000,3500
2023-01-27,63000,64000,62500,63500,3600
2023-01-28,63500,64500,63000,64000,3700
2023-01-29,64000,65000,63500,64500,3800
2023-01-30,64500,65500,64000,65000,3900
2023-01-31,65000,66000,64500,65500,4000
2023-02-01,65500,66500,65000,66000,4100
2023-02-02,66000,67000,65500,66500,4200
2023-02-03,66500,67500,66000,67000,4300
2023-02-04,67000,68000,66500,67500,4400
2023-02-05,67500,68500,67000,68000,4500
2023-02-06,68000,69000,67500,68500,4600
2023-02-07,68500,69500,68000,69000,4700
2023-02-08,69000,70000,68500,69500,4800
2023-02-09,69500,70500,69000,70000,4900
2023-02-10,70000,71000,69500,70500,5000
2023-02-11,70500,71500,70000,71000,5100
2023-02-12,71000,72000,70500,71500,5200
2023-02-13,71500,72500,71000,72000,5300
2023-02-14,72000,73000,71500,72500,5400
2023-02-15,72500,73500,72000,73000,5500
2023-02-16,73000,74000,72500,73500,5600
2023-02-17,73500,74500,73000,74000,5700
2023-02-18,74000,75000,73500,74500,5800
2023-02-19,74500,75500,74000,75000,5900
2023-02-20,75000,76000,74500,75500,6000
2023-02-21,75500,76500,75000,76000,6100
2023-02-22,76000,77000,75500,76500,6200
2023-02-23,76500,77500,76000,77000,6300
2023-02-24,77000,78000,76500,77500,6400
2023-02-25,77500,78500,77000,78000,6500
2023-02-26,78000,79000,77500,78500,6600
2023-02-27,78500,79500,78000,79000,6700
2023-02-28,79000,80000,78500,79500,6800
2023-03-01,79500,80500,79000,80000,6900
2023-03-02,80000,81000,79500,80500,7000
2023-03-03,80500,81500,80000,81000,7100
2023-03-04,81000,82000,80500,81500,7200
2023-03-05,81500,82500,81000,82000,7300
2023-03-06,82000,83000,81500,82500,7400
2023-03-07,82500,83500,82000,83000,7500
2023-03-08,83000,84000,82500,83500,7600
2023-03-09,83500,84500,83000,84000,7700
2023-03-10,84000,85000,83500,84500,7800
2023-03-11,84500,85500,84000,85000,7900
2023-03-12,85000,86000,84500,85500,8000
2023-03-13,85500,86500,85000,86000,8100
2023-03-14,86000,87000,85500,86500,8200
2023-03-15,86500,87500,86000,87000,8300
2023-03-16,87000,88000,86500,87500,8400
2023-03-17,87500,88500,87000,88000,8500
2023-03-18,88000,89000,87500,88500,8600
2023-03-19,88500,89500,88000,89000,8700
2023-03-20,89000,90000,88500,89500,8800
2023-03-21,89500,90500,89000,90000,8900
2023-03-22,90000,91000,89500,90500,9000
2023-03-23,90500,91500,90000,91000,9100
2023-03-24,91000,92000,90500,91500,9200
2023-03-25,91500,92500,91000,92000,9300
2023-03-26,92000,93000,91500,92500,9400
2023-03-27,92500,93500,92000,93000,9500
2023-03-28,93000,94000,92500,93500,9600
2023-03-29,93500,94500,93000,94000,9700
2023-03-30,94000,95000,93500,94500,9800
2023-03-31,94500,95500,94000,95000,9900
2023-04-01,95000,96000,94500,95500,10000
